2025-01-27T17:43:16.864187Z [info     ] 2025-01-27 14:43:16,864 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:16.864431Z [info     ] 2025-01-27 14:43:16,864 | INFO     | target-postgres.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:16.972138Z [info     ] 2025-01-27 14:43:16,971 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:16.972427Z [info     ] 2025-01-27 14:43:16,972 | INFO     | target-postgres.employees | Initializing target sink for stream 'employees'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.204669Z [info     ] 2025-01-27 14:43:17,204 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.204918Z [info     ] 2025-01-27 14:43:17,204 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.350285Z [info     ] 2025-01-27 14:43:17,350 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.350540Z [info     ] 2025-01-27 14:43:17,350 | INFO     | target-postgres.orders | Initializing target sink for stream 'orders'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.518295Z [info     ] 2025-01-27 14:43:17,518 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.518563Z [info     ] 2025-01-27 14:43:17,518 | INFO     | target-postgres.products | Initializing target sink for stream 'products'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.607373Z [info     ] 2025-01-27 14:43:17,607 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.607659Z [info     ] 2025-01-27 14:43:17,607 | INFO     | target-postgres.region | Initializing target sink for stream 'region'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.688720Z [info     ] 2025-01-27 14:43:17,688 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.689048Z [info     ] 2025-01-27 14:43:17,688 | INFO     | target-postgres.shippers | Initializing target sink for stream 'shippers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.922604Z [info     ] 2025-01-27 14:43:17,922 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:17.922910Z [info     ] 2025-01-27 14:43:17,922 | INFO     | target-postgres.suppliers | Initializing target sink for stream 'suppliers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:18.031361Z [info     ] 2025-01-27 14:43:18,031 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:18.031597Z [info     ] 2025-01-27 14:43:18,031 | INFO     | target-postgres.territories | Initializing target sink for stream 'territories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:18.309232Z [info     ] 2025-01-27 14:43:18,244 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:18.309472Z [info     ] 2025-01-27 14:43:18,244 | INFO     | target-postgres.us_states | Initializing target sink for stream 'us_states'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:18.419702Z [info     ] 2025-01-27 14:43:18,419 | INFO     | target-postgres      | Target 'target-postgres' completed reading 3387 lines of input (12 schemas, 3362 records, 0 batch manifests, 13 state messages). cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:18.514560Z [info     ] 2025-01-27 14:43:18,513 | INFO     | target-postgres.categories | Inserting with SQL: INSERT INTO a01bb191_705f_4f17_ad25_e9ac9d6577b2 (category_id) VALUES (:category_id) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:18.516691Z [info     ] 2025-01-27 14:43:18,516 | INFO     | target-postgres.products | Inserting with SQL: INSERT INTO b4e9ee46_a769_4f3c_891b_bc4f13dfac6d (product_id, supplier_id, category_id) VALUES (:product_id, :supplier_id, :category_id) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
