2025-01-27T17:41:27.589871Z [info     ] 2025-01-27 14:41:27,589 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:27.728249Z [info     ] 2025-01-27 14:41:27,728 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:27.728502Z [info     ] 2025-01-27 14:41:27,728 | INFO     | target-postgres.orders | Initializing target sink for stream 'orders'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:27.830054Z [info     ] 2025-01-27 14:41:27,829 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:27.830318Z [info     ] 2025-01-27 14:41:27,830 | INFO     | target-postgres.products | Initializing target sink for stream 'products'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:27.942394Z [info     ] 2025-01-27 14:41:27,942 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:27.942685Z [info     ] 2025-01-27 14:41:27,942 | INFO     | target-postgres.region | Initializing target sink for stream 'region'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:28.023677Z [info     ] 2025-01-27 14:41:28,023 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:28.023927Z [info     ] 2025-01-27 14:41:28,023 | INFO     | target-postgres.shippers | Initializing target sink for stream 'shippers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
2025-01-27T17:41:28.132275Z [info     ] 2025-01-27 14:41:28,132 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=target-postgres
