2025-01-26T20:32:13.349671Z [info     ] 2025-01-26 17:32:13,349 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:13.349939Z [info     ] 2025-01-26 17:32:13,349 | INFO     | target-postgres.public-categories | Initializing target sink for stream 'public-categories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:13.544620Z [info     ] 2025-01-26 17:32:13,544 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:13.544903Z [info     ] 2025-01-26 17:32:13,544 | INFO     | target-postgres.public-customers | Initializing target sink for stream 'public-customers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:13.709466Z [info     ] 2025-01-26 17:32:13,709 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:13.709751Z [info     ] 2025-01-26 17:32:13,709 | INFO     | target-postgres.public-employee_territories | Initializing target sink for stream 'public-employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:13.879188Z [info     ] 2025-01-26 17:32:13,879 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:13.879473Z [info     ] 2025-01-26 17:32:13,879 | INFO     | target-postgres.public-employees | Initializing target sink for stream 'public-employees'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.012294Z [info     ] 2025-01-26 17:32:14,012 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:14.012566Z [info     ] 2025-01-26 17:32:14,012 | INFO     | target-postgres.public-orders | Initializing target sink for stream 'public-orders'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
