2025-01-26T21:28:49.694832Z [info     ] 2025-01-26 18:28:49,694 | INFO     | tap-postgres.public-region | Beginning full_table sync of 'public-region'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.694959Z [info     ] 2025-01-26 18:28:49,694 | INFO     | tap-postgres.public-region | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.697709Z [info     ] 2025-01-26 18:28:49,697 | INFO     | target-csv.employees | Setting up employees cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.699151Z [info     ] 2025-01-26 18:28:49,699 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.699388Z [info     ] 2025-01-26 18:28:49,699 | INFO     | target-csv.orders    | Initializing target sink for stream 'orders'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.699561Z [info     ] 2025-01-26 18:28:49,699 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'region_description' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.699699Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.699819Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.704146Z [info     ] 2025-01-26 18:28:49,703 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00903773307800293, "tags": {"stream": "public-region", "pid": 33966, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.704385Z [info     ] 2025-01-26 18:28:49,704 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "public-region", "pid": 33966, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
